Qty,Name,Purpose,PN,Cost,Link,,Total:,287
1,RPI 02W,brain,02W,30,link,,,
1,RTL-SDR Blog V3 R860,SDR dongle,NA,40,link,,,
1,Nooelec SAWbird+ GOES,LNA,NA,40,link,,,
1,Tp4056,Charge controller,TP4056,6,link,,,
1,18650 3 cell holder,cell holder,NA,6,link,,,
1,4 pack 3.7v 18650 cell (1 spare),battery,18650,16,link,,,
1,32GB microSD card,for pi,NA,9,link,,,
1,knockoff pelican case - 11 x 8 x 5 in,enclosure,NA,26,link,,,
1,SMA bulkhead connectors 2 pack,front panel and box,NA,7,link,,,
1,nRF52 meshtastic node,MTS,RAK4631,18,link,,,
1,meshtastic base board,MTS,RAK19007,10,link,,,
1,cable gland kit,cheapest one I could find,NA,8,link,,,
1,3x10mm magnets,cheaper than amazon,NA,5,aliexpess,,,
1,RG316 sma to sma cables 3 pack,<--,NA,7,link,,,
1,cheap amazon antenna,main 915mhz whip,NA,18,link,,,
1,dust covers sma,<--,NA,2,link,,,
1,ALLPOWERS solar panel 2x2.5w,auxillary power,NA,18,link,,,
1,6pcs usbc power pigtail,to connect to tp4056 ,NA,7,link,,,
1,22awg wire,power and other stuff,NA,8,link,,,
1,OLED 0.96in,HUD,NA,6,link,,,
